Timestamp,Name (Optional),Age,Gender,Level of Study,Field of Study,Year of Study,Do you feel that the technical courses in your curriculum are aligned with real-world industry needs?,Do you feel some courses have no practical use in the industry?,How relevant are the skills taught in your current courses?,Are you able to apply the technical skills you've learned in college to real-world projects?,Which programming languages have you learned in your academic curriculum?,Do you feel confident using the programming languages for industry-relevant tasks?,"How often are you given practical, hands-on assignments in your technical courses?",Which technical subjects do you find most difficult to understand?,What challenges do you face when trying to apply theoretical concepts to real-world tasks?,How do you overcome the difficulties in understanding technical subjects?,How confident are you in your ability to apply academic knowledge to an industry job?,Have you completed any internships or part-time jobs related to your field of study?,How relevant was your internship experience to the technical subjects you've learned in college?,Are you satisfied with the amount of project-based learning or practical exposure in your current academic program?,Do you feel you need more skills to be industry-ready upon graduation?,What kind of resources would you prefer to bridge the gap between academic learning and industry readiness?,How do you prefer to learn new skills outside of the classroom?,Do you feel the current curriculum is preparing you for industry requirements?,Would you recommend changes to the curriculum?,Career Goal
,,19,Non-binary,Undergraduate,Electrical Engineering,1st year,Somewhat,Somewhat,4,Yes,Python,2,Sometimes,Thermodynamics,Lack of practical exposure,Extra classes,5,Yes,5,1,No,Online courses,Bootcamps,4,Yes,Electronics Engineer
,,20,Non-binary,Doctoral,IT,3rd year,No,Yes,3,No,C++,2,Often,Thermodynamics,Lack of practical exposure,Group studies,3,No,5,4,No,Workshops,Online tutorials,4,Not sure,Software Developer
,,25,Non-binary,Undergraduate,Computer Science,4th year,Yes,Yes,2,Yes,JavaScript,2,Rarely,Fluid Mechanics,Insufficient resources,Extra classes,2,No,5,4,Yes,Workshops,Bootcamps,2,Yes,Software Developer
,,25,Non-binary,Doctoral,Electrical Engineering,1st year,Yes,No,1,Yes,Python,2,Sometimes,Algorithms,Lack of practical exposure,Group studies,5,No,1,3,Somewhat,Mentorship,Peer learning,4,Not sure,Electronics Engineer
,,25,Male,Postgraduate,Mechanical Engineering,2nd year,Yes,Somewhat,5,Somewhat,Python,2,Sometimes,Thermodynamics,Time constraints,Extra classes,2,Yes,5,4,Yes,Mentorship,Peer learning,3,Yes,Mechanical Engineer
,,20,Male,Undergraduate,Civil Engineering,4th year,Somewhat,No,3,Yes,Python,5,Always,Fluid Mechanics,Lack of practical exposure,Extra classes,5,No,4,4,Somewhat,Mentorship,Bootcamps,3,No,Civil Engineer
,,21,Non-binary,Doctoral,Electronics,2nd year,No,Somewhat,5,Somewhat,C++,4,Always,Algorithms,Time constraints,Practical experiments,1,No,1,5,Somewhat,Bootcamps,Bootcamps,2,No,Electronics Engineer
,,25,Female,Undergraduate,Electronics,1st year,Yes,No,5,No,JavaScript,4,Sometimes,Thermodynamics,Lack of practical exposure,Practical experiments,3,Yes,4,4,No,Bootcamps,Peer learning,5,Not sure,Electronics Engineer
,,25,Non-binary,Undergraduate,Civil Engineering,3rd year,Yes,Somewhat,4,No,SQL,5,Rarely,Data Structures,Insufficient resources,Extra classes,2,No,2,1,Somewhat,Workshops,Bootcamps,1,Yes,Civil Engineer
,,19,Non-binary,Postgraduate,Mechanical Engineering,4th year,Somewhat,No,1,No,JavaScript,4,Often,Fluid Mechanics,Insufficient resources,Practical experiments,3,Yes,2,4,Yes,Online courses,Bootcamps,5,No,Mechanical Engineer
,,21,Male,Undergraduate,Mechanical Engineering,3rd year,Somewhat,Somewhat,3,No,JavaScript,5,Always,Algorithms,Insufficient resources,Extra classes,2,No,4,4,No,Mentorship,Bootcamps,4,No,Mechanical Engineer
,,24,Male,Undergraduate,Computer Science,1st year,Somewhat,Yes,3,No,SQL,1,Always,Thermodynamics,Insufficient resources,Practical experiments,1,No,5,1,No,Bootcamps,Bootcamps,3,No,Software Developer
,,21,Female,Doctoral,Electronics,4th year,Yes,Somewhat,2,Yes,C#,4,Sometimes,Algorithms,Insufficient resources,Group studies,4,Yes,5,1,No,Workshops,Peer learning,4,Not sure,Electronics Engineer
,,18,Non-binary,Undergraduate,Civil Engineering,2nd year,No,Yes,5,Yes,Python,4,Sometimes,Thermodynamics,Insufficient resources,Online tutorials,1,Yes,5,4,Yes,Bootcamps,Bootcamps,2,No,Civil Engineer
,,18,Non-binary,Doctoral,Electronics,3rd year,No,Yes,4,Somewhat,C#,1,Sometimes,Fluid Mechanics,Time constraints,Group studies,1,Yes,2,5,Yes,Mentorship,Peer learning,4,Yes,Electronics Engineer
,,19,Female,Postgraduate,Electrical Engineering,1st year,Yes,Somewhat,5,Yes,JavaScript,4,Sometimes,Circuit Design,Time constraints,Group studies,3,No,2,2,Somewhat,Online courses,Online tutorials,2,No,Electronics Engineer
,,20,Non-binary,Postgraduate,Electronics,4th year,Yes,Yes,3,Somewhat,JavaScript,4,Often,Thermodynamics,Insufficient resources,Practical experiments,2,Yes,1,3,Somewhat,Bootcamps,Bootcamps,1,Not sure,Electronics Engineer
,,23,Female,Postgraduate,Computer Science,2nd year,No,No,1,Yes,SQL,5,Often,Algorithms,Time constraints,Extra classes,4,Yes,5,3,Somewhat,Bootcamps,Bootcamps,4,No,Software Developer
,,24,Female,Undergraduate,Electrical Engineering,4th year,Yes,Yes,2,Yes,SQL,3,Often,Data Structures,Time constraints,Online tutorials,2,No,4,3,No,Workshops,Peer learning,5,Not sure,Electronics Engineer
,,19,Male,Postgraduate,IT,1st year,Yes,Yes,1,Somewhat,C++,1,Often,Thermodynamics,Insufficient resources,Online tutorials,5,Yes,5,1,Yes,Online courses,Online tutorials,2,Not sure,Software Developer
,,18,Male,Postgraduate,IT,2nd year,No,Somewhat,5,No,SQL,2,Rarely,Circuit Design,Time constraints,Practical experiments,1,No,3,3,Yes,Online courses,Peer learning,5,No,Software Developer
,,25,Male,Postgraduate,Computer Science,4th year,Somewhat,Yes,4,Yes,Java,5,Always,Software Development,Insufficient resources,Practical experiments,2,Yes,3,1,Somewhat,Workshops,Peer learning,4,Not sure,Software Developer
,,24,Female,Doctoral,Civil Engineering,2nd year,Somewhat,Yes,1,Yes,C#,1,Often,Circuit Design,Lack of practical exposure,Group studies,1,Yes,5,2,Yes,Online courses,Bootcamps,3,Yes,Civil Engineer
,,18,Non-binary,Undergraduate,Electronics,1st year,Somewhat,Yes,2,No,JavaScript,5,Rarely,Fluid Mechanics,Insufficient resources,Online tutorials,5,No,1,1,Somewhat,Mentorship,Online tutorials,2,Yes,Electronics Engineer
,,22,Male,Postgraduate,Electronics,3rd year,Somewhat,Yes,3,No,C++,4,Rarely,Data Structures,Lack of practical exposure,Online tutorials,1,Yes,4,2,No,Bootcamps,Online tutorials,2,No,Electronics Engineer
,,19,Female,Doctoral,Computer Science,1st year,Somewhat,Somewhat,3,Yes,JavaScript,5,Rarely,Software Development,Time constraints,Online tutorials,1,Yes,2,2,No,Bootcamps,Peer learning,4,Yes,Software Developer
,,24,Non-binary,Doctoral,Civil Engineering,3rd year,Somewhat,Yes,2,Yes,SQL,2,Rarely,Data Structures,Lack of practical exposure,Extra classes,5,No,4,4,Somewhat,Bootcamps,Online tutorials,4,Not sure,Civil Engineer
,,23,Female,Postgraduate,Computer Science,3rd year,Somewhat,No,5,No,JavaScript,4,Rarely,Thermodynamics,Time constraints,Group studies,3,No,5,5,No,Online courses,Peer learning,1,Yes,Software Developer
,,21,Female,Doctoral,Mechanical Engineering,3rd year,Somewhat,Yes,2,Somewhat,Java,5,Always,Data Structures,Time constraints,Group studies,4,Yes,4,3,Somewhat,Workshops,Peer learning,2,Yes,Mechanical Engineer
,,24,Female,Doctoral,Electrical Engineering,4th year,No,Yes,5,Somewhat,C++,4,Sometimes,Thermodynamics,Lack of practical exposure,Practical experiments,1,No,2,4,Somewhat,Workshops,Online tutorials,3,Yes,Electronics Engineer
,,21,Female,Undergraduate,Mechanical Engineering,4th year,Yes,Yes,4,No,Python,2,Sometimes,Fluid Mechanics,Lack of practical exposure,Extra classes,1,Yes,5,3,No,Mentorship,Peer learning,3,No,Mechanical Engineer
,,18,Female,Doctoral,Civil Engineering,2nd year,Yes,Yes,2,No,JavaScript,3,Rarely,Fluid Mechanics,Lack of practical exposure,Practical experiments,3,No,3,1,Yes,Mentorship,Online tutorials,4,Yes,Civil Engineer
,,22,Non-binary,Undergraduate,Electrical Engineering,4th year,Somewhat,Yes,1,Yes,Java,2,Rarely,Fluid Mechanics,Insufficient resources,Practical experiments,5,No,4,4,No,Online courses,Bootcamps,5,Yes,Electronics Engineer
,,18,Non-binary,Postgraduate,IT,1st year,No,Yes,2,No,SQL,2,Sometimes,Algorithms,Time constraints,Online tutorials,5,No,1,3,Yes,Bootcamps,Peer learning,3,Not sure,Software Developer
,,21,Non-binary,Postgraduate,IT,4th year,Somewhat,Yes,3,No,Python,2,Always,Thermodynamics,Lack of practical exposure,Online tutorials,4,Yes,1,1,Yes,Workshops,Peer learning,3,Yes,Software Developer
,,22,Male,Doctoral,Civil Engineering,4th year,Somewhat,Somewhat,4,Somewhat,JavaScript,1,Rarely,Data Structures,Insufficient resources,Practical experiments,1,Yes,2,3,Somewhat,Workshops,Bootcamps,1,No,Civil Engineer
,,21,Non-binary,Postgraduate,Mechanical Engineering,2nd year,No,Somewhat,4,No,Python,3,Often,Fluid Mechanics,Lack of practical exposure,Practical experiments,1,No,4,5,Yes,Bootcamps,Online tutorials,1,Yes,Mechanical Engineer
,,25,Female,Postgraduate,Electrical Engineering,3rd year,Yes,Yes,4,Yes,Java,3,Rarely,Circuit Design,Time constraints,Group studies,3,No,5,3,Yes,Online courses,Bootcamps,4,Not sure,Electronics Engineer
,,23,Male,Postgraduate,Civil Engineering,1st year,No,Yes,5,No,Python,2,Always,Software Development,Time constraints,Practical experiments,2,Yes,1,4,Yes,Bootcamps,Online tutorials,2,Not sure,Civil Engineer
,,23,Non-binary,Doctoral,Electronics,4th year,Yes,Somewhat,3,Yes,Java,4,Rarely,Fluid Mechanics,Insufficient resources,Online tutorials,2,Yes,4,1,Yes,Workshops,Peer learning,3,No,Electronics Engineer
,,24,Non-binary,Undergraduate,Mechanical Engineering,1st year,No,No,2,No,Java,3,Often,Software Development,Time constraints,Practical experiments,1,Yes,1,2,Yes,Online courses,Bootcamps,1,No,Mechanical Engineer
,,24,Female,Doctoral,Mechanical Engineering,1st year,Somewhat,Yes,1,No,JavaScript,2,Rarely,Thermodynamics,Lack of practical exposure,Practical experiments,2,Yes,5,5,Yes,Workshops,Peer learning,1,No,Mechanical Engineer
,,23,Female,Postgraduate,Civil Engineering,1st year,Yes,Yes,1,Yes,JavaScript,1,Always,Algorithms,Insufficient resources,Extra classes,4,Yes,4,5,No,Online courses,Online tutorials,1,Not sure,Civil Engineer
,,21,Male,Doctoral,Electronics,4th year,No,Somewhat,1,Yes,Java,2,Sometimes,Thermodynamics,Insufficient resources,Group studies,2,Yes,1,1,No,Workshops,Online tutorials,2,No,Electronics Engineer
,,20,Male,Postgraduate,Electrical Engineering,4th year,Somewhat,No,2,Yes,Python,3,Rarely,Fluid Mechanics,Lack of practical exposure,Practical experiments,4,No,1,2,No,Workshops,Peer learning,3,Not sure,Electronics Engineer
,,18,Male,Undergraduate,Computer Science,3rd year,No,Yes,4,No,JavaScript,1,Always,Thermodynamics,Lack of practical exposure,Extra classes,4,Yes,4,5,No,Bootcamps,Bootcamps,2,No,Software Developer
,,21,Male,Postgraduate,Electrical Engineering,4th year,Yes,No,3,No,Java,1,Rarely,Data Structures,Time constraints,Practical experiments,1,Yes,1,4,Somewhat,Online courses,Peer learning,1,Not sure,Electronics Engineer
,,19,Non-binary,Doctoral,Mechanical Engineering,1st year,No,No,1,Yes,Java,2,Sometimes,Data Structures,Time constraints,Practical experiments,4,Yes,2,5,Somewhat,Mentorship,Bootcamps,2,Yes,Mechanical Engineer
,,21,Non-binary,Doctoral,Electrical Engineering,1st year,Yes,Somewhat,5,Yes,C#,4,Often,Algorithms,Insufficient resources,Online tutorials,1,No,5,3,Yes,Mentorship,Bootcamps,1,Not sure,Electronics Engineer
,,18,Male,Doctoral,Electrical Engineering,2nd year,Somewhat,Yes,4,Somewhat,C++,2,Rarely,Circuit Design,Lack of practical exposure,Practical experiments,3,Yes,5,4,No,Workshops,Peer learning,5,No,Electronics Engineer
,,22,Female,Doctoral,Civil Engineering,3rd year,Somewhat,Somewhat,1,Yes,SQL,5,Sometimes,Thermodynamics,Insufficient resources,Practical experiments,4,No,4,2,Somewhat,Online courses,Online tutorials,4,No,Civil Engineer
,,18,Non-binary,Postgraduate,Electronics,1st year,Yes,Somewhat,2,Somewhat,C++,3,Sometimes,Circuit Design,Insufficient resources,Group studies,4,No,2,3,Somewhat,Online courses,Peer learning,4,Not sure,Electronics Engineer
,,25,Non-binary,Doctoral,Electrical Engineering,3rd year,Somewhat,No,3,Yes,C++,2,Sometimes,Thermodynamics,Lack of practical exposure,Practical experiments,5,Yes,1,1,Yes,Workshops,Peer learning,1,Not sure,Electronics Engineer
,,25,Male,Undergraduate,Civil Engineering,1st year,No,No,5,Yes,JavaScript,5,Always,Data Structures,Insufficient resources,Practical experiments,5,Yes,4,2,No,Mentorship,Peer learning,2,Not sure,Civil Engineer
,,18,Female,Postgraduate,IT,1st year,Yes,Yes,5,No,Python,4,Often,Algorithms,Insufficient resources,Online tutorials,5,No,5,3,Yes,Workshops,Peer learning,4,No,Software Developer
,,24,Non-binary,Postgraduate,Electronics,3rd year,Somewhat,Somewhat,3,Somewhat,C#,2,Sometimes,Fluid Mechanics,Insufficient resources,Group studies,3,No,4,3,No,Mentorship,Online tutorials,1,Yes,Electronics Engineer
,,22,Male,Doctoral,Electronics,4th year,Yes,Yes,3,Somewhat,C++,3,Often,Thermodynamics,Insufficient resources,Group studies,4,No,1,3,No,Bootcamps,Online tutorials,2,Not sure,Electronics Engineer
,,19,Female,Undergraduate,Electronics,1st year,No,Yes,1,No,C++,5,Sometimes,Circuit Design,Lack of practical exposure,Online tutorials,1,Yes,3,5,Somewhat,Workshops,Peer learning,5,No,Electronics Engineer
,,19,Non-binary,Postgraduate,IT,1st year,Somewhat,Somewhat,5,Yes,JavaScript,5,Often,Data Structures,Lack of practical exposure,Extra classes,4,No,2,3,Yes,Mentorship,Online tutorials,4,No,Software Developer
,,21,Male,Doctoral,Civil Engineering,1st year,Somewhat,Yes,5,Yes,SQL,1,Sometimes,Algorithms,Time constraints,Practical experiments,3,Yes,1,2,No,Workshops,Online tutorials,3,Yes,Civil Engineer
,,24,Male,Doctoral,Computer Science,3rd year,No,No,5,Somewhat,JavaScript,4,Always,Algorithms,Time constraints,Extra classes,4,Yes,5,2,No,Workshops,Online tutorials,5,Yes,Software Developer
,,19,Female,Undergraduate,Civil Engineering,3rd year,Yes,Yes,5,No,C++,2,Always,Software Development,Lack of practical exposure,Extra classes,2,Yes,2,2,Somewhat,Mentorship,Bootcamps,2,Not sure,Civil Engineer
,,19,Non-binary,Doctoral,Electronics,1st year,Somewhat,No,4,Somewhat,Java,2,Rarely,Algorithms,Time constraints,Extra classes,3,No,1,4,Yes,Online courses,Peer learning,2,Not sure,Electronics Engineer
,,20,Non-binary,Undergraduate,Mechanical Engineering,3rd year,Somewhat,No,5,Somewhat,C++,4,Always,Thermodynamics,Lack of practical exposure,Extra classes,4,Yes,3,2,No,Bootcamps,Peer learning,2,Not sure,Mechanical Engineer
,,22,Non-binary,Doctoral,Computer Science,2nd year,Somewhat,Yes,2,Somewhat,Python,5,Sometimes,Thermodynamics,Time constraints,Online tutorials,2,Yes,3,2,No,Online courses,Bootcamps,4,Not sure,Software Developer
,,23,Male,Postgraduate,Civil Engineering,4th year,Somewhat,Somewhat,2,Somewhat,C++,4,Rarely,Software Development,Time constraints,Online tutorials,5,Yes,4,5,Yes,Workshops,Online tutorials,4,No,Civil Engineer
,,18,Non-binary,Doctoral,Civil Engineering,1st year,Somewhat,No,1,No,C++,3,Sometimes,Data Structures,Lack of practical exposure,Online tutorials,4,Yes,5,2,Somewhat,Mentorship,Peer learning,4,Not sure,Civil Engineer
,,21,Female,Undergraduate,Electronics,3rd year,Somewhat,Somewhat,2,Yes,Java,4,Sometimes,Circuit Design,Time constraints,Extra classes,4,Yes,5,2,Somewhat,Mentorship,Online tutorials,2,No,Electronics Engineer
,,21,Male,Undergraduate,Civil Engineering,1st year,No,Yes,1,Yes,C++,1,Often,Software Development,Insufficient resources,Extra classes,5,No,4,2,Somewhat,Workshops,Peer learning,1,No,Civil Engineer
,,19,Male,Doctoral,Mechanical Engineering,4th year,Yes,Somewhat,4,No,Java,2,Always,Thermodynamics,Time constraints,Online tutorials,1,Yes,4,4,Yes,Bootcamps,Online tutorials,1,No,Mechanical Engineer
,,22,Non-binary,Doctoral,Mechanical Engineering,2nd year,Somewhat,Somewhat,5,Yes,Python,1,Often,Fluid Mechanics,Lack of practical exposure,Practical experiments,1,Yes,2,3,Somewhat,Bootcamps,Online tutorials,1,No,Mechanical Engineer
,,19,Male,Postgraduate,Civil Engineering,1st year,No,No,5,Somewhat,JavaScript,5,Rarely,Algorithms,Lack of practical exposure,Group studies,5,No,5,4,Yes,Bootcamps,Peer learning,4,Yes,Civil Engineer
,,20,Female,Undergraduate,Electronics,3rd year,Yes,No,1,Yes,Java,1,Often,Thermodynamics,Lack of practical exposure,Online tutorials,4,No,1,2,No,Online courses,Bootcamps,5,Yes,Electronics Engineer
,,23,Male,Postgraduate,Civil Engineering,2nd year,No,No,2,No,Java,2,Often,Thermodynamics,Lack of practical exposure,Group studies,5,Yes,2,2,Somewhat,Workshops,Bootcamps,3,Not sure,Civil Engineer
,,19,Non-binary,Undergraduate,IT,4th year,No,Somewhat,1,Yes,Java,4,Often,Thermodynamics,Lack of practical exposure,Online tutorials,4,Yes,1,1,No,Workshops,Online tutorials,1,No,Software Developer
,,18,Male,Postgraduate,Mechanical Engineering,1st year,No,Yes,3,Yes,C++,1,Rarely,Algorithms,Lack of practical exposure,Group studies,4,No,2,1,No,Mentorship,Peer learning,5,Yes,Mechanical Engineer
,,22,Female,Doctoral,Civil Engineering,2nd year,Yes,Somewhat,2,Yes,C#,5,Rarely,Software Development,Time constraints,Group studies,5,No,3,2,Somewhat,Mentorship,Bootcamps,2,Yes,Civil Engineer
,,22,Non-binary,Doctoral,Electrical Engineering,3rd year,Somewhat,Somewhat,2,Yes,C++,5,Rarely,Software Development,Insufficient resources,Online tutorials,2,No,4,1,Somewhat,Workshops,Peer learning,5,No,Electronics Engineer
,,22,Male,Doctoral,Electrical Engineering,1st year,No,Somewhat,1,Somewhat,C#,1,Rarely,Algorithms,Time constraints,Practical experiments,2,No,4,1,Somewhat,Bootcamps,Online tutorials,2,No,Electronics Engineer
,,18,Male,Postgraduate,Mechanical Engineering,3rd year,No,No,1,No,C++,2,Rarely,Thermodynamics,Lack of practical exposure,Online tutorials,4,No,2,5,Somewhat,Workshops,Online tutorials,2,No,Mechanical Engineer
,,18,Female,Doctoral,Computer Science,4th year,No,Yes,5,No,Python,3,Sometimes,Data Structures,Lack of practical exposure,Extra classes,3,Yes,4,2,Yes,Bootcamps,Bootcamps,1,Yes,Software Developer
,,24,Female,Postgraduate,Electrical Engineering,3rd year,No,Yes,1,No,Python,5,Rarely,Fluid Mechanics,Time constraints,Group studies,4,No,1,5,Somewhat,Online courses,Online tutorials,4,Yes,Electronics Engineer
,,25,Non-binary,Undergraduate,Civil Engineering,4th year,No,Somewhat,1,Somewhat,Java,1,Rarely,Software Development,Lack of practical exposure,Practical experiments,1,Yes,4,5,Somewhat,Online courses,Online tutorials,5,Not sure,Civil Engineer
,,24,Female,Undergraduate,Electronics,1st year,Somewhat,Somewhat,1,Somewhat,Java,4,Always,Algorithms,Time constraints,Group studies,2,No,2,5,Yes,Mentorship,Bootcamps,3,No,Electronics Engineer
,,19,Male,Undergraduate,Computer Science,1st year,No,Somewhat,5,Somewhat,SQL,3,Rarely,Algorithms,Lack of practical exposure,Group studies,2,Yes,4,3,No,Bootcamps,Bootcamps,1,Yes,Software Developer
,,19,Female,Doctoral,Mechanical Engineering,2nd year,No,No,2,Somewhat,C++,3,Rarely,Circuit Design,Insufficient resources,Practical experiments,4,No,2,5,Yes,Workshops,Online tutorials,2,No,Mechanical Engineer
,,20,Non-binary,Postgraduate,Civil Engineering,3rd year,Somewhat,Somewhat,3,Somewhat,Python,4,Always,Algorithms,Insufficient resources,Extra classes,3,No,3,1,No,Bootcamps,Bootcamps,4,No,Civil Engineer
,,22,Non-binary,Doctoral,Computer Science,1st year,Somewhat,Somewhat,3,Somewhat,SQL,5,Sometimes,Circuit Design,Time constraints,Extra classes,3,Yes,2,5,No,Bootcamps,Bootcamps,3,No,Software Developer
,,22,Female,Undergraduate,Computer Science,1st year,Yes,Somewhat,4,Somewhat,C++,2,Often,Circuit Design,Time constraints,Extra classes,4,Yes,2,3,No,Mentorship,Online tutorials,4,Yes,Software Developer
,,18,Male,Undergraduate,Electronics,1st year,Yes,Yes,2,Somewhat,SQL,2,Always,Fluid Mechanics,Lack of practical exposure,Online tutorials,5,No,4,5,No,Workshops,Peer learning,5,Yes,Electronics Engineer
,,25,Female,Postgraduate,Electrical Engineering,3rd year,No,Yes,4,No,JavaScript,4,Often,Thermodynamics,Time constraints,Practical experiments,5,Yes,5,4,Yes,Online courses,Online tutorials,5,No,Electronics Engineer
,,18,Male,Undergraduate,Electronics,3rd year,Somewhat,No,4,Somewhat,SQL,5,Often,Software Development,Lack of practical exposure,Practical experiments,1,No,4,2,Yes,Online courses,Online tutorials,5,Yes,Electronics Engineer
,,23,Male,Undergraduate,IT,4th year,No,Yes,5,No,SQL,4,Rarely,Software Development,Insufficient resources,Online tutorials,1,Yes,4,1,Somewhat,Online courses,Peer learning,1,No,Software Developer
,,25,Non-binary,Doctoral,Electrical Engineering,4th year,Yes,Somewhat,5,No,JavaScript,3,Sometimes,Software Development,Lack of practical exposure,Practical experiments,4,Yes,4,1,No,Bootcamps,Online tutorials,3,Not sure,Electronics Engineer
,,21,Female,Doctoral,Electronics,1st year,No,Somewhat,5,Somewhat,C#,3,Always,Thermodynamics,Lack of practical exposure,Group studies,1,No,1,5,No,Mentorship,Bootcamps,2,Not sure,Electronics Engineer
,,19,Male,Postgraduate,Electrical Engineering,1st year,Yes,Somewhat,3,Yes,Java,2,Sometimes,Algorithms,Lack of practical exposure,Online tutorials,5,No,1,2,Yes,Online courses,Online tutorials,5,Not sure,Electronics Engineer
